source	source.label	target	target.label	edge
	Tamarindus occidentalis Gaertn. (1791)	Q80235	Tamarindus indica L. (1753)	is a synonym
	Tamarindus occidentalis Gaertn. (1791)	Q1040689	Taxonomic SYNONYMS	is a Tamarindus indica L. (1753) 
	Tamarindus umbrosa Salisb. (1796)	Q80235	Tamarindus indica L. (1753)	
	Tamarindus umbrosa Salisb. (1796)	Q1040689	Taxonomic SYNONYMS	is a Tamarindus indica L. (1753) 
	Tamarindus officinalis Hook. (1851) 	Q80235	Tamarindus indica L. (1753)	
	Tamarindus officinalis Hook. (1851) 	Q1040689	Taxonomic SYNONYMS	is a Tamarindus indica L. (1753) 
	Tamarindus somalensis Mattei (1908) 	Q80235	Tamarindus indica L. (1753)	
	Tamarindus somalensis Mattei (1908) 	Q1040689	Taxonomic SYNONYMS	is a Tamarindus indica L. (1753) 
	Tamarindus erythraeus Mattei (1908) 	Q80235	Tamarindus indica L. (1753)	
	Tamarindus erythraeus Mattei (1908) 	Q1040689	Taxonomic SYNONYMS	is a Tamarindus indica L. (1753) 
Q72336898	Tamarind	Q80235	Tamarindus indica L. (1753)	common name
Q72336898	Tamarind	Q502895	VERNACULAR NAME	is a Tamarindus indica L. (1753) 
				
